season,batter,batting_team,balls_faced,total_runs,fours,sixes,strike_rate
2024,VG Arora,Kolkata Knight Riders,1,1,0,0,100.0
2024,J Fraser-McGurk,Delhi Capitals,139,324,32,27,233.09
2024,KV Sharma,Royal Challengers Bengaluru,15,31,2,3,206.67
2025,HH Pandya,Mumbai Indians,137,224,18,13,163.5
2025,MK Pandey,Kolkata Knight Riders,65,92,5,5,141.54
2025,JP Inglis,Punjab Kings,171,278,26,16,162.57
2025,Fazalhaq Farooqi,Rajasthan Royals,2,2,0,0,100.0
2025,Musheer Khan,Punjab Kings,3,0,0,0,0.0
2025,KA Jamieson,Punjab Kings,5,0,0,0,0.0
2007/08,KC Sangakkara,Kings XI Punjab,197,319,41,8,161.93
2007/08,Yuvraj Singh,Kings XI Punjab,184,299,24,19,162.5
2007/08,WP Saha,Kolkata Knight Riders,119,159,12,7,133.61
2007/08,DJ Bravo,Mumbai Indians,131,175,19,5,133.59
2007/08,Pankaj Singh,Rajasthan Royals,8,5,0,0,62.5
2007/08,DS Kulkarni,Mumbai Indians,16,2,0,0,12.5
2007/08,R Vinay Kumar,Royal Challengers Bangalore,22,25,2,1,113.64
2007/08,AB Agarkar,Kolkata Knight Riders,45,54,5,2,120.0
2007/08,DB Das,Kolkata Knight Riders,94,103,9,5,109.57
2007/08,MS Gony,Chennai Super Kings,22,35,2,3,159.09
2007/08,LA Pomersbach,Kings XI Punjab,99,152,13,9,153.54
2007/08,Shoaib Akhtar,Kolkata Knight Riders,7,2,0,0,28.57
2009,JP Duminy,Mumbai Indians,325,372,26,11,114.46
2009,R Vinay Kumar,Royal Challengers Bangalore,44,47,4,1,106.82
2009,SK Warne,Rajasthan Royals,116,108,6,4,93.1
2009,DPMD Jayawardene,Kings XI Punjab,165,219,17,7,132.73
2009,IK Pathan,Kings XI Punjab,158,196,17,6,124.05
2009,RP Singh,Deccan Chargers,17,8,0,0,47.06
2009,SL Malinga,Mumbai Indians,1,0,0,0,0.0
2009/10,AD Mascarenhas,Rajasthan Royals,10,12,0,0,120.0
2009/10,A Uniyal,Rajasthan Royals,7,4,0,0,57.14
2009/10,YA Abdulla,Kings XI Punjab,1,0,0,0,0.0
2009/10,AB de Villiers,Delhi Daredevils,119,111,7,0,93.28
2009/10,KD Karthik,Delhi Daredevils,236,278,26,6,117.8
2009/10,WP Saha,Kolkata Knight Riders,53,67,9,1,126.42
2009/10,S Narwal,Rajasthan Royals,12,14,2,0,116.67
2009/10,AB Barath,Kings XI Punjab,42,42,5,1,100.0
