batter,season,batting_team,matches,total_runs,highest_score,fours,sixes,balls_faced,strike_rate,avg_per_match
MD Shanaka,2023,Gujarat Titans,3,26,6,2,1,26,100.0,8.67
Mohsin Khan,2023,Lucknow Super Giants,1,0,0,0,0,7,0.0,0.0
DA Warner,2024,Delhi Capitals,8,168,6,17,10,124,135.48,21.0
T Stubbs,2024,Delhi Capitals,13,372,6,24,25,196,189.8,28.62
SP Narine,2024,Kolkata Knight Riders,14,488,6,50,33,269,181.41,34.86
LS Livingstone,2024,Punjab Kings,7,111,6,8,7,78,142.31,15.86
SM Curran,2024,Punjab Kings,12,266,6,23,6,217,122.58,22.17
MA Starc,2024,Kolkata Knight Riders,5,9,4,1,0,11,81.82,1.8
Rasikh Salam,2024,Delhi Capitals,4,28,4,4,0,30,93.33,7.0
N Pooran,2025,Lucknow Super Giants,14,519,6,44,40,265,195.85,37.07
R Tewatia,2025,Gujarat Titans,11,99,6,6,7,59,167.8,9.0
Nithish Kumar Reddy,2024,Sunrisers Hyderabad,11,303,6,15,21,212,142.92,27.55
JD Unadkat,2024,Sunrisers Hyderabad,5,24,6,2,1,26,92.31,4.8
Vijaykumar Vyshak,2024,Royal Challengers Bengaluru,2,1,1,0,0,3,33.33,0.5
Arshad Khan,2024,Lucknow Super Giants,3,78,6,5,5,50,156.0,26.0
Mukesh Kumar,2024,Delhi Capitals,2,3,1,0,0,9,33.33,1.5
Swapnil Singh,2024,Royal Challengers Bengaluru,5,37,6,3,3,21,176.19,7.4
M Jansen,2024,Sunrisers Hyderabad,2,18,6,1,1,13,138.46,9.0
HV Patel,2025,Sunrisers Hyderabad,4,21,2,0,0,26,80.77,5.25
JM Sharma,2025,Royal Challengers Bengaluru,11,261,6,24,17,147,177.55,23.73
J Overton,2025,Chennai Super Kings,2,15,6,1,1,7,214.29,7.5
JR Hazlewood,2025,Royal Challengers Bengaluru,1,0,0,0,0,1,0.0,0.0
D Ferreira,2025,Delhi Capitals,1,1,1,0,0,3,33.33,1.0
JG Bethell,2025,Royal Challengers Bengaluru,2,67,6,9,3,39,171.79,33.5
Mustafizur Rahman,2025,Delhi Capitals,1,0,0,0,0,1,0.0,0.0
Sediqullah Atal,2025,Delhi Capitals,1,22,6,0,2,16,137.5,22.0
KC Sangakkara,2007/08,Kings XI Punjab,9,319,6,41,8,197,161.93,35.44
R Vinay Kumar,2007/08,Royal Challengers Bangalore,4,25,6,2,1,22,113.64,6.25
MK Pandey,2007/08,Mumbai Indians,2,3,1,0,0,9,33.33,1.5
S Vidyut,2007/08,Chennai Super Kings,8,145,6,21,3,109,133.03,18.13
Iqbal Abdulla,2007/08,Kolkata Knight Riders,1,1,1,0,0,2,50.0,1.0
DJ Bravo,2009,Mumbai Indians,10,217,6,15,8,201,107.96,21.7
RA Jadeja,2009,Rajasthan Royals,13,293,6,21,6,265,110.57,22.54
SB Bangar,2009,Kolkata Knight Riders,1,2,1,0,0,9,22.22,2.0
TL Suman,2009,Deccan Chargers,12,237,6,18,8,190,124.74,19.75
GR Napier,2009,Mumbai Indians,1,15,4,1,0,16,93.75,15.0
S Sohal,2009,Kings XI Punjab,8,115,6,9,8,91,126.37,14.38
RJ Harris,2009,Deccan Chargers,5,21,3,0,0,18,116.67,4.2
SD Chitnis,2009,Rajasthan Royals,1,6,4,1,0,8,75.0,6.0
Mohammad Ashraful,2009,Mumbai Indians,1,2,1,0,0,10,20.0,2.0
OA Shah,2009/10,Kolkata Knight Riders,5,115,6,7,5,95,121.05,23.0
NV Ojha,2009/10,Rajasthan Royals,14,376,6,42,15,283,132.86,26.86
MS Bisla,2009/10,Kings XI Punjab,10,214,6,26,6,177,120.9,21.4
M Kaif,2009/10,Kings XI Punjab,3,28,4,2,0,30,93.33,9.33
KD Karthik,2009/10,Delhi Daredevils,14,278,6,26,6,236,117.8,19.86
JM Kemp,2009/10,Chennai Super Kings,2,26,6,1,1,24,108.33,13.0
DJ Bravo,2009/10,Mumbai Indians,8,61,6,3,4,53,115.09,7.63
DW Steyn,2009/10,Royal Challengers Bangalore,4,13,4,2,0,17,76.47,3.25
CL White,2009/10,Royal Challengers Bangalore,5,48,6,3,3,33,145.45,9.6
S Sriram,2009/10,Royal Challengers Bangalore,1,27,4,3,0,29,93.1,27.0
C Madan,2009/10,Mumbai Indians,1,14,4,3,0,18,77.78,14.0
AJ Finch,2009/10,Rajasthan Royals,1,21,6,0,1,21,100.0,21.0
SK Raina,2011,Chennai Super Kings,16,437,6,36,17,323,135.29,27.31
KC Sangakkara,2011,Deccan Chargers,13,358,6,44,5,291,123.02,27.54
I Sharma,2011,Deccan Chargers,4,4,1,0,0,5,80.0,1.0
V Kohli,2011,Royal Challengers Bangalore,16,557,6,55,16,459,121.35,34.81
P Kumar,2011,Kings XI Punjab,7,27,6,2,1,31,87.1,3.86
AL Menaria,2011,Rajasthan Royals,10,180,6,10,10,152,118.42,18.0
WD Parnell,2011,Pune Warriors,5,37,6,2,1,39,94.87,7.4
Z Khan,2011,Royal Challengers Bangalore,2,21,4,2,0,24,87.5,10.5
RR Powar,2011,Kochi Tuskers Kerala,3,11,2,0,0,13,84.62,3.67
Mandeep Singh,2011,Kings XI Punjab,5,47,6,4,1,41,114.63,9.4
B Kumar,2011,Pune Warriors,1,1,1,0,0,1,100.0,1.0
Y Gnaneswara Rao,2011,Kochi Tuskers Kerala,1,19,4,3,0,17,111.76,19.0
AT Rayudu,2012,Mumbai Indians,15,333,6,21,14,252,132.14,22.2
R Dravid,2012,Rajasthan Royals,16,462,6,63,4,412,112.14,28.88
DW Steyn,2012,Deccan Chargers,5,19,6,0,1,21,90.48,3.8
KC Sangakkara,2012,Deccan Chargers,12,194,6,21,3,183,106.01,16.17
A Mishra,2012,Deccan Chargers,5,16,4,1,0,20,80.0,3.2
J Botha,2012,Rajasthan Royals,7,58,6,4,1,54,107.41,8.29
LRPL Taylor,2012,Delhi Daredevils,12,197,6,12,7,171,115.2,16.42
AC Blizzard,2012,Mumbai Indians,1,0,0,0,0,3,0.0,0.0
Gurkeerat Singh,2012,Kings XI Punjab,4,86,6,12,2,52,165.38,21.5
Yuvraj Singh,2013,Pune Warriors,13,238,6,14,15,190,125.26,18.31
R Sharma,2013,Pune Warriors,6,11,4,1,0,17,64.71,1.83
DJ Bravo,2013,Chennai Super Kings,12,121,6,11,3,106,114.15,10.08
R Ashwin,2013,Chennai Super Kings,5,35,4,4,0,49,71.43,7.0
LR Shukla,2013,Kolkata Knight Riders,2,3,1,0,0,12,25.0,1.5
SP Narine,2013,Kolkata Knight Riders,6,21,6,0,2,19,110.53,3.5
CH Morris,2013,Chennai Super Kings,6,14,2,0,0,16,87.5,2.33
Sachin Baby,2013,Rajasthan Royals,1,3,2,0,0,7,42.86,3.0
G Gambhir,2014,Kolkata Knight Riders,16,324,6,35,3,290,111.72,20.25
SK Raina,2014,Chennai Super Kings,16,519,6,50,19,357,145.38,32.44
KV Sharma,2014,Sunrisers Hyderabad,8,42,6,1,3,29,144.83,5.25
SL Malinga,2014,Mumbai Indians,1,2,1,0,0,4,50.0,2.0
JD Unadkat,2014,Delhi Daredevils,2,1,1,0,0,6,16.67,0.5
IK Pathan,2014,Sunrisers Hyderabad,6,55,4,5,0,54,101.85,9.17
JA Morkel,2014,Royal Challengers Bangalore,5,45,6,1,3,41,109.76,9.0
Q de Kock,2014,Delhi Daredevils,7,153,6,19,4,130,117.69,21.86
RR Rossouw,2014,Royal Challengers Bangalore,3,39,6,2,2,41,95.12,13.0
YS Chahal,2014,Royal Challengers Bangalore,1,1,1,0,0,1,100.0,1.0
M Vohra,2014,Kings XI Punjab,8,324,6,27,16,232,139.66,40.5
M de Lange,2014,Mumbai Indians,1,1,1,0,0,2,50.0,1.0
VS Malik,2014,Rajasthan Royals,1,1,1,0,0,2,50.0,1.0
AD Mathews,2015,Delhi Daredevils,10,143,6,12,6,103,138.83,14.3
R Dhawan,2015,Kings XI Punjab,4,36,6,2,2,33,109.09,9.0
PA Patel,2015,Mumbai Indians,14,339,6,47,5,246,137.8,24.21
A Ashish Reddy,2015,Sunrisers Hyderabad,5,73,6,3,5,46,158.7,14.6
DS Kulkarni,2015,Rajasthan Royals,2,4,1,0,0,11,36.36,2.0
HH Pandya,2016,Mumbai Indians,9,44,4,4,0,63,69.84,4.89
CR Brathwaite,2016,Delhi Daredevils,6,83,6,6,8,38,218.42,13.83
NM Coulter-Nile,2016,Delhi Daredevils,2,9,4,1,0,14,64.29,4.5
Shubman Gill,2023,Gujarat Titans,17,885,6,84,33,560,158.04,52.06
Mandeep Singh,2023,Kolkata Knight Riders,3,14,6,0,1,16,87.5,4.67
MR Marsh,2023,Delhi Capitals,9,128,6,11,7,97,131.96,14.22
Aman Hakim Khan,2023,Delhi Capitals,9,110,6,7,6,101,108.91,12.22
AR Patel,2023,Delhi Capitals,13,275,6,21,14,201,136.82,21.15
SA Yadav,2016,Kolkata Knight Riders,11,180,6,18,5,141,127.66,16.36
SPD Smith,2016,Rising Pune Supergiants,7,270,6,27,8,175,154.29,38.57
D Wiese,2016,Royal Challengers Bangalore,1,5,2,0,0,4,125.0,5.0
Shakib Al Hasan,2016,Kolkata Knight Riders,7,114,6,7,5,106,107.55,16.29
SW Billings,2016,Delhi Daredevils,4,88,6,4,4,63,139.68,22.0
JO Holder,2016,Kolkata Knight Riders,4,22,6,2,1,19,115.79,5.5
HM Amla,2016,Kings XI Punjab,6,157,6,20,4,119,131.93,26.17
JJ Bumrah,2016,Mumbai Indians,2,8,4,1,0,11,72.73,4.0
DA Warner,2017,Sunrisers Hyderabad,14,634,6,63,25,449,141.2,45.29
JC Buttler,2017,Mumbai Indians,10,273,6,27,15,179,152.51,27.3
MS Dhoni,2017,Rising Pune Supergiant,15,290,6,15,16,250,116.0,19.33
SK Raina,2017,Gujarat Lions,14,438,6,41,13,304,144.08,31.29
SW Billings,2017,Delhi Daredevils,6,138,6,19,1,103,133.98,23.0
S Nadeem,2017,Delhi Daredevils,3,2,1,0,0,9,22.22,0.67
DS Kulkarni,2017,Gujarat Lions,1,1,1,0,0,2,50.0,1.0
Basil Thampi,2017,Gujarat Lions,5,28,6,1,1,28,100.0,5.6
Imran Tahir,2017,Rising Pune Supergiant,1,0,0,0,0,2,0.0,0.0
NV Ojha,2017,Sunrisers Hyderabad,5,79,6,2,3,65,121.54,15.8
B Kumar,2017,Sunrisers Hyderabad,2,4,2,0,0,4,100.0,2.0
SP Jackson,2017,Kolkata Knight Riders,3,38,4,5,0,31,122.58,12.67
R Tewatia,2017,Kings XI Punjab,2,19,4,4,0,11,172.73,9.5
SK Raina,2018,Chennai Super Kings,15,445,6,46,12,335,132.84,29.67
MS Dhoni,2018,Chennai Super Kings,15,455,6,24,30,301,151.16,30.33
DT Christian,2018,Delhi Daredevils,3,26,6,0,1,32,81.25,8.67
BA Stokes,2018,Rajasthan Royals,12,195,6,13,6,160,121.88,16.25
S Gopal,2018,Rajasthan Royals,4,50,4,5,0,45,111.11,12.5
B Laughlin,2018,Rajasthan Royals,2,1,1,0,0,4,25.0,0.5
S Dhawan,2018,Sunrisers Hyderabad,16,496,6,59,14,362,137.02,31.0
YK Pathan,2018,Sunrisers Hyderabad,13,260,6,22,11,200,130.0,20.0
AR Patel,2018,Kings XI Punjab,8,80,6,3,4,69,115.94,10.0
M Vijay,2018,Chennai Super Kings,1,12,6,0,1,10,120.0,12.0
Mohammed Siraj,2018,Royal Challengers Bangalore,3,25,6,2,1,22,113.64,8.33
Mohammad Nabi,2018,Sunrisers Hyderabad,2,18,4,3,0,12,150.0,9.0
DA Warner,2019,Sunrisers Hyderabad,12,692,6,57,21,481,143.87,57.67
AR Patel,2019,Delhi Capitals,12,108,6,10,3,87,124.14,9.0
Yuvraj Singh,2019,Mumbai Indians,4,98,6,7,6,75,130.67,24.5
Rasikh Salam,2019,Mumbai Indians,1,5,2,0,0,4,125.0,5.0
DS Kulkarni,2019,Rajasthan Royals,1,5,4,1,0,3,166.67,5.0
Kuldeep Yadav,2019,Kolkata Knight Riders,3,12,4,1,0,8,150.0,4.0
Avesh Khan,2019,Delhi Capitals,1,4,4,1,0,3,133.33,4.0
P Negi,2019,Royal Challengers Bangalore,4,9,4,1,0,12,75.0,2.25
SW Billings,2019,Chennai Super Kings,1,0,0,0,0,4,0.0,0.0
MJ Guptill,2019,Sunrisers Hyderabad,3,82,6,4,7,54,151.85,27.33
KK Nair,2020/21,Kings XI Punjab,3,16,4,2,0,14,114.29,5.33
R Parag,2020/21,Rajasthan Royals,8,86,6,6,3,77,111.69,10.75
JC Archer,2020/21,Rajasthan Royals,10,101,6,5,8,60,168.33,10.1
KD Karthik,2020/21,Kolkata Knight Riders,14,169,6,20,4,136,124.26,12.07
NS Naik,2020/21,Kolkata Knight Riders,1,1,1,0,0,3,33.33,1.0
MK Lomror,2020/21,Rajasthan Royals,3,59,6,2,3,54,109.26,19.67
Arshdeep Singh,2020/21,Kings XI Punjab,1,0,0,0,0,3,0.0,0.0
N Jagadeesan,2020/21,Chennai Super Kings,2,33,4,4,0,29,113.79,16.5
RG Sharma,2021,Mumbai Indians,13,379,6,33,14,298,127.18,29.15
CA Lynn,2021,Mumbai Indians,1,49,6,4,3,35,140.0,49.0
AB de Villiers,2021,Royal Challengers Bangalore,14,313,6,23,16,211,148.34,22.36
Mohammed Siraj,2021,Royal Challengers Bangalore,4,20,6,1,1,26,76.92,5.0
BA Stokes,2021,Rajasthan Royals,1,0,0,0,0,3,0.0,0.0
M Vohra,2021,Rajasthan Royals,4,42,6,5,2,39,107.69,10.5
JC Buttler,2021,Rajasthan Royals,7,242,6,27,11,164,147.56,34.57
CR Woakes,2021,Delhi Capitals,1,15,4,2,0,11,136.36,15.0
JD Unadkat,2021,Rajasthan Royals,3,41,6,3,2,29,141.38,13.67
S Gopal,2021,Rajasthan Royals,2,7,6,0,1,5,140.0,3.5
Navdeep Saini,2021,Royal Challengers Bangalore,1,2,1,0,0,4,50.0,2.0
SS Tiwary,2021,Mumbai Indians,4,115,6,10,2,97,118.56,28.75
AF Milne,2021,Mumbai Indians,3,16,6,0,1,17,94.12,5.33
MK Lomror,2021,Rajasthan Royals,4,94,6,3,6,73,128.77,23.5
TG Southee,2021,Kolkata Knight Riders,1,3,2,0,0,5,60.0,3.0
TL Seifert,2021,Kolkata Knight Riders,1,2,1,0,0,4,50.0,2.0
GHS Garton,2021,Royal Challengers Bangalore,2,2,1,0,0,4,50.0,1.0
RV Uthappa,2022,Chennai Super Kings,11,230,6,19,14,170,135.29,20.91
Anmolpreet Singh,2022,Mumbai Indians,2,13,4,1,0,13,100.0,6.5
R Parag,2022,Rajasthan Royals,14,183,6,11,10,132,138.64,13.07
TG Southee,2022,Kolkata Knight Riders,5,2,1,0,0,12,16.67,0.4
MM Ali,2022,Chennai Super Kings,10,244,6,24,11,177,137.85,24.4
Navdeep Saini,2022,Rajasthan Royals,1,2,2,0,0,2,100.0,2.0
K Gowtham,2022,Lucknow Super Giants,1,0,0,0,0,1,0.0,0.0
LH Ferguson,2022,Gujarat Titans,2,5,4,1,0,4,125.0,2.5
S Gopal,2022,Sunrisers Hyderabad,1,9,4,2,0,7,128.57,9.0
AS Roy,2022,Kolkata Knight Riders,1,0,0,0,0,2,0.0,0.0
R Sanjay Yadav,2022,Mumbai Indians,1,0,0,0,0,2,0.0,0.0
M Jansen,2023,Sunrisers Hyderabad,6,39,4,4,0,43,90.7,6.5
Liton Das,2023,Kolkata Knight Riders,1,4,4,1,0,4,100.0,4.0
KS Sharma,2023,Lucknow Super Giants,2,12,1,0,0,21,57.14,6.0
Noor Ahmad,2023,Gujarat Titans,3,8,4,1,0,9,88.89,2.67
Abishek Porel,2024,Delhi Capitals,12,326,6,36,13,204,159.8,27.17
N Pooran,2024,Lucknow Super Giants,14,499,6,35,36,279,178.85,35.64
Mohsin Khan,2024,Lucknow Super Giants,1,2,2,0,0,1,200.0,2.0
DA Miller,2024,Gujarat Titans,9,210,6,20,8,139,151.08,23.33
Ishan Kishan,2024,Mumbai Indians,14,319,6,35,16,214,149.07,22.79
PP Chawla,2024,Mumbai Indians,6,15,6,1,1,15,100.0,2.5
AD Russell,2024,Kolkata Knight Riders,9,214,6,18,16,116,184.48,23.78
A Nortje,2024,Delhi Capitals,2,4,2,0,0,8,50.0,2.0
PVSN Raju,2025,Mumbai Indians,1,1,1,0,0,1,100.0,1.0
F du Plessis,2025,Delhi Capitals,9,197,6,17,8,161,122.36,21.89
MP Stoinis,2025,Punjab Kings,11,160,6,8,15,85,188.24,14.55
M Shahrukh Khan,2024,Gujarat Titans,7,127,6,9,9,75,169.33,18.14
DJ Hooda,2024,Lucknow Super Giants,9,145,6,16,3,105,138.1,16.11
MM Sharma,2024,Gujarat Titans,2,2,1,0,0,15,13.33,1.0
KV Sharma,2024,Royal Challengers Bengaluru,3,31,6,2,3,15,206.67,10.33
LB Williams,2024,Delhi Capitals,1,1,1,0,0,2,50.0,1.0
AA Kulkarni,2024,Lucknow Super Giants,2,9,4,2,0,8,112.5,4.5
K Kartikeya,2025,Rajasthan Royals,2,3,2,0,0,5,60.0,1.5
R Shepherd,2025,Royal Challengers Bengaluru,3,64,6,5,6,23,278.26,21.33
KV Sharma,2025,Mumbai Indians,1,1,1,0,0,1,100.0,1.0
JH Kallis,2007/08,Royal Challengers Bangalore,11,199,6,23,4,183,108.74,18.09
CL White,2007/08,Royal Challengers Bangalore,8,109,6,7,4,100,109.0,13.63
Z Khan,2007/08,Royal Challengers Bangalore,7,33,4,4,0,42,78.57,4.71
SK Trivedi,2007/08,Rajasthan Royals,3,5,1,0,0,12,41.67,1.67
WPUJC Vaas,2007/08,Deccan Chargers,4,15,2,0,0,17,88.24,3.75
LR Shukla,2007/08,Kolkata Knight Riders,12,163,6,17,5,122,133.61,13.58
SP Fleming,2007/08,Chennai Super Kings,10,192,6,26,3,162,118.52,19.2
PJ Sangwan,2007/08,Delhi Daredevils,2,2,2,0,0,5,40.0,1.0
Joginder Sharma,2007/08,Chennai Super Kings,2,16,6,1,1,11,145.45,8.0
M Ntini,2007/08,Chennai Super Kings,2,11,4,2,0,18,61.11,5.5
A Chopra,2007/08,Kolkata Knight Riders,5,42,4,5,0,52,80.77,8.4
J Arunkumar,2007/08,Royal Challengers Bangalore,3,23,4,5,0,23,100.0,7.67
SR Tendulkar,2007/08,Mumbai Indians,7,188,6,26,2,177,106.21,26.86
VS Yeligati,2007/08,Mumbai Indians,1,2,2,0,0,2,100.0,2.0
SR Tendulkar,2009,Mumbai Indians,13,363,6,39,10,299,121.4,27.92
Harbhajan Singh,2009,Mumbai Indians,10,84,6,6,5,53,158.49,8.4
A Flintoff,2009,Chennai Super Kings,3,62,6,5,2,53,116.98,20.67
T Thushara,2009,Chennai Super Kings,2,2,1,0,0,7,28.57,1.0
P Kumar,2009,Royal Challengers Bangalore,8,65,6,1,6,46,141.3,8.13
SK Warne,2009,Rajasthan Royals,10,108,6,6,4,116,93.1,10.8
JA Morkel,2009,Chennai Super Kings,10,97,6,8,4,70,138.57,9.7
DW Steyn,2009,Royal Challengers Bangalore,1,0,0,0,0,3,0.0,0.0
Y Venugopal Rao,2009,Deccan Chargers,12,124,6,6,3,114,108.77,10.33
DB Ravi Teja,2009,Deccan Chargers,6,65,4,7,0,70,92.86,10.83
WA Mota,2009,Kings XI Punjab,6,30,2,0,0,48,62.5,5.0
RR Raje,2009,Mumbai Indians,2,12,6,0,1,9,133.33,6.0
A Singh,2009,Rajasthan Royals,2,1,1,0,0,3,33.33,0.5
SS Shaikh,2009,Kolkata Knight Riders,1,6,4,1,0,7,85.71,6.0
MK Tiwary,2009/10,Kolkata Knight Riders,11,236,6,23,5,185,127.57,21.45
GC Smith,2009/10,Rajasthan Royals,2,44,4,7,0,39,112.82,22.0
EJG Morgan,2009/10,Royal Challengers Bangalore,4,35,6,2,1,30,116.67,8.75
RP Singh,2009/10,Deccan Chargers,5,9,3,0,0,19,47.37,1.8
AB Barath,2009/10,Kings XI Punjab,3,42,6,5,1,42,100.0,14.0
Y Nagar,2009/10,Delhi Daredevils,1,1,1,0,0,6,16.67,1.0
R Sharma,2009/10,Deccan Chargers,4,29,6,3,1,26,111.54,7.25
T Thushara,2009/10,Chennai Super Kings,2,10,2,0,0,11,90.91,5.0
RJ Harris,2009/10,Deccan Chargers,5,45,6,2,2,39,115.38,9.0
PP Ojha,2009/10,Deccan Chargers,3,3,2,0,0,8,37.5,1.0
AM Nayar,2009/10,Mumbai Indians,3,58,6,4,2,51,113.73,19.33
M Morkel,2011,Delhi Daredevils,5,36,6,2,2,24,150.0,7.2
UT Yadav,2011,Delhi Daredevils,2,1,1,0,0,5,20.0,0.5
SR Tendulkar,2011,Mumbai Indians,16,553,6,67,5,488,113.32,34.56
RV Uthappa,2011,Pune Warriors,13,263,6,27,10,205,128.29,20.23
Yuvraj Singh,2011,Pune Warriors,13,343,6,24,18,261,131.42,26.38
S Aravind,2011,Royal Challengers Bangalore,2,13,4,2,0,8,162.5,6.5
KM Jadhav,2011,Kochi Tuskers Kerala,4,18,4,1,0,23,78.26,4.5
B Lee,2011,Kolkata Knight Riders,4,5,1,0,0,9,55.56,1.25
Harbhajan Singh,2011,Mumbai Indians,8,103,6,9,6,71,145.07,12.88
TL Suman,2011,Mumbai Indians,6,65,6,5,5,51,127.45,10.83
AA Jhunjhunwala,2011,Pune Warriors,2,10,4,2,0,17,58.82,5.0
DB Das,2012,Kolkata Knight Riders,10,126,6,9,6,92,136.96,12.6
MN Samuels,2012,Pune Warriors,8,124,6,7,5,123,100.81,15.5
SE Marsh,2012,Kings XI Punjab,13,336,6,39,7,280,120.0,25.85
JP Faulkner,2012,Kings XI Punjab,2,14,2,0,0,13,107.69,7.0
Harmeet Singh,2012,Kings XI Punjab,2,15,4,3,0,7,214.29,7.5
MS Gony,2012,Deccan Chargers,1,4,1,0,0,8,50.0,4.0
JP Duminy,2012,Deccan Chargers,9,244,6,13,11,190,128.42,27.11
PA Reddy,2012,Deccan Chargers,3,73,6,6,2,59,123.73,24.33
KB Arun Karthik,2013,Royal Challengers Bangalore,5,41,6,3,1,38,107.89,8.2
AT Rayudu,2013,Mumbai Indians,15,264,6,22,4,229,115.28,17.6
DR Smith,2013,Mumbai Indians,13,418,6,40,19,340,122.94,32.15
Mandeep Singh,2013,Kings XI Punjab,14,260,4,36,0,223,116.59,18.57
PJ Sangwan,2013,Kolkata Knight Riders,1,4,4,1,0,2,200.0,4.0
AJ Finch,2013,Pune Warriors,14,455,6,54,16,335,135.82,32.5
JA Morkel,2013,Chennai Super Kings,3,46,6,2,3,37,124.32,15.33
PP Ojha,2013,Mumbai Indians,3,2,1,0,0,4,50.0,0.67
AG Murtaza,2013,Pune Warriors,1,5,4,1,0,4,125.0,5.0
OA Shah,2013,Rajasthan Royals,2,25,4,2,0,23,108.7,12.5
MM Sharma,2013,Chennai Super Kings,2,0,0,0,0,5,0.0,0.0
CA Pujara,2013,Royal Challengers Bangalore,4,92,4,14,0,99,92.93,23.0
Iqbal Abdulla,2013,Kolkata Knight Riders,2,8,1,0,0,14,57.14,4.0
AJ Finch,2014,Sunrisers Hyderabad,13,308,6,31,9,261,118.01,23.69
Y Venugopal Rao,2014,Sunrisers Hyderabad,5,71,4,8,0,63,112.7,14.2
HV Patel,2014,Royal Challengers Bangalore,3,13,6,1,1,7,185.71,4.33
R Shukla,2014,Delhi Daredevils,3,18,4,2,0,21,85.71,6.0
DJ Hussey,2014,Chennai Super Kings,4,116,6,8,6,94,123.4,29.0
UBT Chand,2014,Rajasthan Royals,1,2,1,0,0,9,22.22,2.0
SE Marsh,2014,Kings XI Punjab,2,70,6,7,3,52,134.62,35.0
R Vinay Kumar,2015,Mumbai Indians,2,0,0,0,0,2,0.0,0.0
PP Chawla,2015,Kolkata Knight Riders,7,54,6,5,2,47,114.89,7.71
Sandeep Sharma,2015,Kings XI Punjab,3,9,4,1,0,14,64.29,3.0
RG More,2015,Chennai Super Kings,1,2,1,0,0,2,100.0,2.0
Bipul Sharma,2015,Sunrisers Hyderabad,1,1,1,0,0,2,50.0,1.0
MEK Hussey,2015,Chennai Super Kings,4,77,6,5,3,70,110.0,19.25
Azhar Mahmood,2015,Kolkata Knight Riders,1,6,4,1,0,7,85.71,6.0
MA Agarwal,2016,Delhi Daredevils,3,27,6,3,1,25,108.0,9.0
SS Iyer,2016,Delhi Daredevils,6,30,6,2,1,43,69.77,5.0
RK Singh,2023,Kolkata Knight Riders,14,461,6,31,27,313,147.28,32.93
R Parag,2023,Rajasthan Royals,7,78,6,4,5,65,120.0,11.14
Abhishek Sharma,2023,Sunrisers Hyderabad,11,225,6,28,6,156,144.23,20.45
F du Plessis,2023,Royal Challengers Bangalore,14,728,6,60,36,472,154.24,52.0
EJG Morgan,2016,Sunrisers Hyderabad,6,123,6,8,4,105,117.14,20.5
BCJ Cutting,2016,Sunrisers Hyderabad,4,65,6,4,6,34,191.18,16.25
AR Patel,2017,Kings XI Punjab,13,227,6,11,11,162,140.12,17.46
CR Brathwaite,2017,Delhi Daredevils,2,12,4,2,0,15,80.0,6.0
MJ McClenaghan,2017,Mumbai Indians,5,16,6,0,1,15,106.67,3.2
Ishan Kishan,2017,Gujarat Lions,10,277,6,29,13,205,135.12,27.7
KS Williamson,2017,Sunrisers Hyderabad,7,256,6,20,10,168,152.38,36.57
Ankit Soni,2017,Gujarat Lions,3,7,6,0,1,9,77.78,2.33
IR Jaggi,2017,Kolkata Knight Riders,2,33,4,3,0,39,84.62,16.5
V Kohli,2018,Royal Challengers Bangalore,14,529,6,52,18,379,139.58,37.79
RA Tripathi,2018,Rajasthan Royals,12,225,6,18,8,166,135.54,18.75
R Ashwin,2018,Kings XI Punjab,8,102,6,7,5,71,143.66,12.75
F du Plessis,2018,Chennai Super Kings,6,161,6,17,6,128,125.78,26.83
RK Bhui,2018,Sunrisers Hyderabad,1,0,0,0,0,5,0.0,0.0
Mustafizur Rahman,2018,Mumbai Indians,1,1,1,0,0,3,33.33,1.0
AD Nath,2018,Kings XI Punjab,1,9,4,1,0,13,69.23,9.0
Abhishek Sharma,2018,Delhi Daredevils,3,63,6,3,5,33,190.91,21.0
YS Chahal,2019,Royal Challengers Bangalore,3,6,3,0,0,16,37.5,2.0
MK Pandey,2019,Sunrisers Hyderabad,11,345,6,34,6,264,130.68,31.36
SN Thakur,2019,Chennai Super Kings,2,14,6,1,1,7,200.0,7.0
B Kumar,2019,Sunrisers Hyderabad,4,12,4,1,0,19,63.16,3.0
BB Sran,2019,Mumbai Indians,1,3,2,0,0,3,100.0,3.0
VR Aaron,2019,Rajasthan Royals,1,3,1,0,0,7,42.86,3.0
A Nortje,2020/21,Delhi Capitals,3,7,3,0,0,6,116.67,2.33
DA Warner,2020/21,Sunrisers Hyderabad,16,547,6,52,14,406,134.73,34.19
JDS Neesham,2020/21,Kings XI Punjab,3,19,6,0,1,18,105.56,6.33
JO Holder,2020/21,Sunrisers Hyderabad,4,66,6,5,3,53,124.53,16.5
RM Patidar,2021,Royal Challengers Bangalore,4,71,6,3,3,62,114.52,17.75
MS Dhoni,2021,Chennai Super Kings,11,114,6,12,3,107,106.54,10.36
SM Curran,2021,Chennai Super Kings,4,56,6,5,3,29,193.1,14.0
JM Bairstow,2021,Sunrisers Hyderabad,7,248,6,20,15,175,141.71,35.43
MA Agarwal,2021,Punjab Kings,12,431,6,40,18,309,139.48,35.92
R Tewatia,2021,Rajasthan Royals,11,155,6,11,6,147,105.44,14.09
PJ Cummins,2021,Kolkata Knight Riders,5,93,6,5,8,56,166.07,18.6
Harbhajan Singh,2021,Kolkata Knight Riders,2,4,2,0,0,4,100.0,2.0
TA Boult,2021,Mumbai Indians,2,1,1,0,0,4,25.0,0.5
