bowler,season,bowling_team,matches,balls_bowled,runs_conceded,wickets,economy,bowling_avg,strike_rate
K Santokie,2014,Mumbai Indians,2,48,87,3,10.88,29.0,16.0
JP Duminy,2015,Delhi Daredevils,9,102,121,8,7.12,15.13,12.75
MJ McClenaghan,2015,Mumbai Indians,12,282,363,18,7.72,20.17,15.67
Shivam Sharma,2015,Kings XI Punjab,1,18,44,1,14.67,44.0,18.0
Mohammed Siraj,2024,Royal Challengers Bengaluru,14,324,469,15,8.69,31.27,21.6
Ravi Bishnoi,2024,Lucknow Super Giants,14,262,375,10,8.59,37.5,26.2
Washington Sundar,2024,Sunrisers Hyderabad,2,30,73,1,14.6,73.0,30.0
G Coetzee,2024,Mumbai Indians,10,201,318,13,9.49,24.46,15.46
MM Ali,2024,Chennai Super Kings,4,48,70,2,8.75,35.0,24.0
S Gopal,2024,Mumbai Indians,3,42,67,3,9.57,22.33,14.0
LH Ferguson,2024,Royal Challengers Bengaluru,7,144,248,9,10.33,27.56,16.0
R Sai Kishore,2024,Gujarat Titans,5,90,134,7,8.93,19.14,12.86
Tilak Varma,2024,Mumbai Indians,1,4,8,0,12.0,,
L Wood,2024,Mumbai Indians,2,36,91,1,15.17,91.0,36.0
MJ Suthar,2024,Gujarat Titans,1,12,26,0,13.0,,
V Kaverappa,2024,Punjab Kings,1,24,36,2,9.0,18.0,12.0
Kartik Tyagi,2024,Gujarat Titans,1,24,49,0,12.25,,
Yash Dayal,2025,Royal Challengers Bengaluru,15,294,445,13,9.08,34.23,22.62
WG Jacks,2025,Mumbai Indians,8,84,111,6,7.93,18.5,14.0
Vijaykumar Vyshak,2025,Punjab Kings,5,102,165,4,9.71,41.25,25.5
PWH de Silva,2025,Rajasthan Royals,11,246,366,11,8.93,33.27,22.36
Ishan Kishan,2025,Sunrisers Hyderabad,1,1,4,0,24.0,,
I Sharma,2025,Gujarat Titans,7,110,198,4,10.8,49.5,27.5
Ashwani Kumar,2025,Mumbai Indians,7,123,223,11,10.88,20.27,11.18
A Kamboj,2025,Chennai Super Kings,8,129,171,8,7.95,21.38,16.13
RD Chahar,2025,Sunrisers Hyderabad,1,6,9,0,9.0,,
M Tiwari,2025,Delhi Capitals,1,6,14,0,14.0,,
Harsh Dubey,2025,Sunrisers Hyderabad,3,60,97,5,9.7,19.4,12.0
P Kumar,2016,Gujarat Lions,16,309,383,9,7.44,42.56,34.33
PJ Sangwan,2016,Gujarat Lions,2,24,48,0,12.0,,
RA Jadeja,2016,Gujarat Lions,14,241,305,8,7.59,38.13,30.13
Iqbal Abdulla,2016,Royal Challengers Bangalore,8,150,208,6,8.32,34.67,25.0
JA Morkel,2016,Rising Pune Supergiants,2,30,61,2,12.2,30.5,15.0
SR Watson,2017,Royal Challengers Bangalore,8,161,241,5,8.98,48.2,32.2
TG Southee,2017,Mumbai Indians,3,60,89,3,8.9,29.67,20.0
HH Pandya,2017,Mumbai Indians,13,156,207,6,7.96,34.5,26.0
B Stanlake,2017,Royal Challengers Bangalore,2,48,68,2,8.5,34.0,24.0
AS Rajpoot,2017,Kolkata Knight Riders,5,84,104,4,7.43,26.0,21.0
CJ Anderson,2017,Delhi Daredevils,8,113,177,3,9.4,59.0,37.67
SN Thakur,2017,Rising Pune Supergiant,12,229,301,11,7.89,27.36,20.82
Shakib Al Hasan,2017,Kolkata Knight Riders,1,18,31,0,10.33,,
Washington Sundar,2017,Rising Pune Supergiant,10,180,183,8,6.1,22.88,22.5
SR Watson,2018,Chennai Super Kings,11,168,243,6,8.68,40.5,28.0
TA Boult,2018,Delhi Daredevils,14,316,453,18,8.6,25.17,17.56
Kuldeep Yadav,2018,Kolkata Knight Riders,16,308,410,17,7.99,24.12,18.12
Shakib Al Hasan,2018,Sunrisers Hyderabad,17,342,451,14,7.91,32.21,24.43
S Kaul,2018,Sunrisers Hyderabad,17,396,541,21,8.2,25.76,18.86
SN Thakur,2018,Chennai Super Kings,13,280,416,16,8.91,26.0,17.5
Sandeep Sharma,2018,Sunrisers Hyderabad,12,264,324,12,7.36,27.0,22.0
V Shankar,2018,Delhi Daredevils,4,30,53,1,10.6,53.0,30.0
CJ Jordan,2018,Sunrisers Hyderabad,1,24,30,0,7.5,,
DJ Hooda,2018,Sunrisers Hyderabad,2,18,23,0,7.67,,
AS Rajpoot,2018,Kings XI Punjab,8,157,214,11,8.18,19.45,14.27
Basil Thampi,2018,Sunrisers Hyderabad,4,61,113,5,11.11,22.6,12.2
RA Jadeja,2019,Chennai Super Kings,16,324,341,15,6.31,22.73,21.6
DJ Bravo,2019,Chennai Super Kings,12,247,307,11,7.46,27.91,22.45
PP Chawla,2019,Kolkata Knight Riders,13,267,399,10,8.97,39.9,26.7
S Gopal,2019,Rajasthan Royals,14,288,342,20,7.13,17.1,14.4
KV Sharma,2019,Chennai Super Kings,1,17,33,1,11.65,33.0,17.0
TA Boult,2020/21,Mumbai Indians,15,348,466,25,8.03,18.64,13.92
Shivam Mavi,2020/21,Kolkata Knight Riders,8,156,206,9,7.92,22.89,17.33
Avesh Khan,2020/21,Delhi Capitals,1,24,41,0,10.25,,
Mohammad Nabi,2020/21,Sunrisers Hyderabad,1,24,20,0,5.0,,
TK Curran,2021,Delhi Capitals,3,68,100,4,8.82,25.0,17.0
Mohammad Nabi,2021,Sunrisers Hyderabad,3,48,86,2,10.75,43.0,24.0
K Rabada,2021,Delhi Capitals,15,336,444,15,7.93,29.6,22.4
Jalaj S Saxena,2021,Punjab Kings,1,18,27,0,9.0,,
J Yadav,2021,Mumbai Indians,5,102,126,2,7.41,63.0,51.0
JDS Neesham,2021,Mumbai Indians,3,54,66,5,7.33,13.2,10.8
LH Ferguson,2021,Kolkata Knight Riders,8,180,217,13,7.23,16.69,13.85
Umran Malik,2021,Sunrisers Hyderabad,3,72,93,2,7.75,46.5,36.0
RV Patel,2021,Delhi Capitals,1,18,20,0,6.67,,
UT Yadav,2022,Kolkata Knight Riders,12,288,329,16,6.85,20.56,18.0
DR Sams,2022,Mumbai Indians,11,252,341,13,8.12,26.23,19.38
Washington Sundar,2022,Sunrisers Hyderabad,8,168,235,6,8.39,39.17,28.0
T Natarajan,2022,Sunrisers Hyderabad,11,258,387,18,9.0,21.5,14.33
Mustafizur Rahman,2022,Delhi Capitals,8,192,237,8,7.41,29.63,24.0
PJ Cummins,2022,Kolkata Knight Riders,5,119,200,7,10.08,28.57,17.0
C Sakariya,2022,Delhi Capitals,3,66,78,3,7.09,26.0,22.0
SS Iyer,2022,Kolkata Knight Riders,1,6,7,0,7.0,,
M Pathirana,2022,Chennai Super Kings,2,41,41,2,6.0,20.5,20.5
Umran Malik,2023,Sunrisers Hyderabad,8,120,207,5,10.35,41.4,24.0
